frame, timestamp, emotion
184.000000, 6.100000, Neutral
185.000000, 6.133330, Neutral
186.000000, 6.166670, Neutral
187.000000, 6.200000, Neutral
188.000000, 6.233330, Neutral
189.000000, 6.266670, Neutral
190.000000, 6.300000, Neutral
191.000000, 6.333330, Neutral
192.000000, 6.366670, Neutral
193.000000, 6.400000, Neutral
194.000000, 6.433330, Neutral
195.000000, 6.466670, Neutral
196.000000, 6.500000, Neutral
197.000000, 6.533330, Neutral
198.000000, 6.566670, Neutral
199.000000, 6.600000, Neutral
200.000000, 6.633330, Neutral
201.000000, 6.666670, Neutral
202.000000, 6.700000, Neutral
203.000000, 6.733330, Neutral
204.000000, 6.766670, Neutral
205.000000, 6.800000, Neutral
206.000000, 6.833330, Neutral
207.000000, 6.866670, Neutral
208.000000, 6.900000, Neutral
209.000000, 6.933330, Neutral
210.000000, 6.966670, Neutral
211.000000, 7.000000, Neutral
212.000000, 7.033330, Neutral
213.000000, 7.066670, Neutral
214.000000, 7.100000, Neutral
215.000000, 7.133330, Neutral
216.000000, 7.166670, Neutral
